Token;Número de documentos;Posición del primer registro
1210;1;6814251
1212;2;6814252
1213;3;6814254
1216;2;6814257
1219;1;6814259
1221;2;6814260
1222;1;6814262
1223;2;6814263
1224;1;6814265
1225;2;6814266
1226;1;6814268
1230;2;6814269
1231;1;6814271
1232;1;6814272
1236;1;6814273
1238;1;6814274
1239;1;6814275
1241;3;6814276
1242;1;6814279
1245;2;6814280
1249;2;6814282
1250;3;6814284
1258;5;6814287
1260;2;6814292
1262;1;6814294
1267;1;6814295
1268;2;6814296
1270;1;6814298
1273;2;6814299
1276;1;6814301
1278;1;6814302
1282;2;6814303
1285;1;6814305
1291;2;6814306
1294;1;6814308
1299;1;6814309
1300;1;6814310
1301;1;6814311
1305;1;6814312
1306;1;6814313
1308;1;6814314
1309;1;6814315
1313;2;6814316
1314;2;6814318
1317;3;6814320
1321;1;6814323
1324;1;6814324
1325;1;6814325
1327;2;6814326
1329;1;6814328
1330;2;6814329
1331;1;6814331
1332;1;6814332
1333;1;6814333
1336;1;6814334
1339;1;6814335
1343;1;6814336
1344;1;6814337
1348;1;6814338
1349;1;6814339
1350;2;6814340
1353;1;6814342
1355;1;6814343
1356;1;6814344
1357;3;6814345
1358;2;6814348
1359;1;6814350
1360;1;6814351
1364;3;6814352
1365;1;6814355
1368;1;6814356
1371;1;6814357
1379;1;6814358
1380;1;6814359
1386;1;6814360
1390;1;6814361
1393;1;6814362
1394;1;6814363
1395;1;6814364
1400;4;6814365
1401;1;6814369
1404;2;6814370
1405;1;6814372
1406;1;6814373
1407;2;6814374
1412;2;6814376
1413;1;6814378
1414;1;6814379
1415;1;6814380
1419;3;6814381
1422;3;6814384
1423;1;6814387
1431;1;6814388
1433;4;6814389
1435;1;6814393
1438;1;6814394
1439;1;6814395
1440;3;6814396
1444;6;6814399
1448;3;6814405
1451;2;6814408
1458;3;6814410
1460;1;6814413
1461;1;6814414
1462;1;6814415
1464;1;6814416
1481;1;6814417
1482;1;6814418
1485;2;6814419
1487;1;6814421
1488;2;6814422
1490;2;6814424
1492;1;6814426
1493;1;6814427
1494;1;6814428
1496;1;6814429
1499;1;6814430
1500;6;6814431
1502;1;6814437
1504;1;6814438
1506;1;6814439
1509;1;6814440
1511;1;6814441
1513;1;6814442
1515;1;6814443
1520;2;6814444
1523;1;6814446
1526;2;6814447
1531;1;6814449
1534;4;6814450
1541;1;6814454
1542;1;6814455
1544;2;6814456
1547;1;6814458
1550;1;6814459
1551;1;6814460
1552;1;6814461
1557;1;6814462
1559;1;6814463
1566;1;6814464
1567;2;6814465
1568;3;6814467
1570;1;6814470
1574;1;6814471
1576;1;6814472
1579;3;6814473
1582;2;6814476
1583;3;6814478
1591;1;6814481
1596;2;6814482
1598;1;6814484
1600;2;6814485
1602;1;6814487
1603;1;6814488
1604;1;6814489
1605;1;6814490
1607;2;6814491
1613;2;6814493
1614;1;6814495
1618;2;6814496
1619;1;6814498
1620;1;6814499
1621;1;6814500
1624;4;6814501
1625;1;6814505
1629;1;6814506
1633;1;6814507
1635;1;6814508
1636;1;6814509
1640;2;6814510
1641;2;6814512
1644;1;6814514
1646;1;6814515
1648;2;6814516
1649;1;6814518
1652;1;6814519
1660;1;6814520
1661;1;6814521
1665;1;6814522
1666;1;6814523
1668;3;6814524
1669;1;6814527
1670;1;6814528
1671;1;6814529
1674;5;6814530
1675;1;6814535
1676;1;6814536
1680;1;6814537
1683;2;6814538
1684;1;6814540
1687;1;6814541
1688;1;6814542
1689;2;6814543
1694;1;6814545
1696;1;6814546
1700;8;6814547
1701;1;6814555
1703;1;6814556
1704;2;6814557
1705;1;6814559
1706;1;6814560
1708;1;6814561
1710;1;6814562
1711;1;6814563
1723;2;6814564
1726;1;6814566
1733;2;6814567
1734;1;6814569
1735;1;6814570
1736;1;6814571
1738;2;6814572
1739;1;6814574
1740;2;6814575
1745;1;6814577
1750;2;6814578
1753;1;6814580
1754;6;6814581
1756;4;6814587
1757;1;6814591
1759;2;6814592
1760;11;6814594
1762;2;6814605
1763;2;6814607
1764;1;6814609
1765;1;6814610
1766;1;6814611
1768;1;6814612
1772;1;6814613
1773;1;6814614
1774;1;6814615
1775;1;6814616
1776;2;6814617
1778;1;6814619
1779;6;6814620
1780;1;6814626
1781;3;6814627
1783;1;6814630
1787;2;6814631
1789;7;6814633
1790;2;6814640
1792;3;6814642
1793;1;6814645
1796;1;6814646
1797;1;6814647
1798;2;6814648
1800;7;6814650
1801;2;6814657
1803;2;6814659
1807;1;6814661
1808;1;6814662
1809;1;6814663
1812;1;6814664
1813;3;6814665
1814;1;6814668
1815;9;6814669
1816;1;6814678
1819;2;6814679
1820;1;6814681
1821;2;6814682
1822;1;6814684
1823;3;6814685
1824;3;6814688
1825;1;6814691
1829;1;6814692
1830;5;6814693
1831;1;6814698
1832;4;6814699
1833;2;6814703
1834;1;6814705
1835;1;6814706
1836;1;6814707
1838;2;6814708
1839;2;6814710
1840;7;6814712
1841;1;6814719
1842;1;6814720
1843;1;6814721
1844;1;6814722
1845;3;6814723
1847;1;6814726
1848;11;6814727
1849;4;6814738
1850;8;6814742
1851;1;6814750
1852;8;6814751
1854;2;6814759
1855;3;6814761
1857;2;6814764
1859;1;6814766
1860;1;6814767
1862;1;6814768
1863;1;6814769
1865;4;6814770
1866;1;6814774
1867;2;6814775
1868;3;6814777
1869;1;6814780
1870;2;6814781
1871;2;6814783
1872;1;6814785
1874;2;6814786
1875;1;6814788
1876;1;6814789
1877;2;6814790
1878;1;6814792
1879;1;6814793
1880;3;6814794
1881;2;6814797
1882;1;6814799
1884;1;6814800
1887;2;6814801
1890;2;6814803
1892;3;6814805
1893;2;6814808
1894;3;6814810
1895;1;6814813
1896;1;6814814
1897;2;6814815
1898;3;6814817
1899;2;6814820
1900;12;6814822
1901;1;6814834
1902;1;6814835
1903;2;6814836
1904;2;6814838
1905;3;6814840
1906;2;6814843
1907;3;6814845
1908;1;6814848
1910;3;6814849
1911;5;6814852
1912;1;6814857
1913;4;6814858
1914;7;6814862
1915;3;6814869
1916;2;6814872
1917;4;6814874
1918;10;6814878
1919;9;6814888
1920;10;6814897
1921;6;6814907
1922;1;6814913
1923;3;6814914
1924;2;6814917
1925;1;6814919
1928;1;6814920
1929;4;6814921
1930;10;6814925
1931;1;6814935
1932;3;6814936
1933;5;6814939
1934;7;6814944
1935;6;6814951
1936;4;6814957
1937;2;6814961
1938;5;6814963
1939;7;6814968
1940;13;6814975
1941;10;6814988
1942;3;6814998
1943;8;6815001
1944;5;6815009
1945;23;6815014
1946;9;6815037
1947;8;6815046
1948;7;6815054
1949;7;6815061
1950;18;6815068
1951;7;6815086
1952;5;6815093
1953;7;6815098
1954;6;6815105
1955;2;6815111
1956;24;6815113
1957;7;6815137
1958;7;6815144
1959;6;6815151
1960;13;6815157
1961;4;6815170
1962;7;6815174
1963;5;6815181
1964;12;6815186
1965;9;6815198
1966;7;6815207
1967;7;6815214
1968;12;6815221
1969;7;6815233
1970;12;6815240
1971;15;6815252
1972;13;6815267
1973;21;6815280
1974;22;6815301
1975;13;6815323
1976;10;6815336
1977;19;6815346
1978;23;6815365
1979;13;6815388
1980;15;6815401
1981;14;6815416
1982;14;6815430
1983;16;6815444
1984;23;6815460
1985;16;6815483
1986;20;6815499
1987;20;6815519
1988;25;6815539
1989;31;6815564
1990;54;6815595
1991;34;6815649
1992;56;6815683
1993;62;6815739
1994;93;6815801
1995;130;6815894
1996;299;6816024
1997;49;6816323
1998;27;6816372
1999;11;6816399
2000;31;6816410
2001;3;6816441
2002;9;6816444
2003;2;6816453
2004;1;6816455
2005;1;6816456
2006;1;6816457
2007;1;6816458
2008;1;6816459
2010;7;6816460
2011;1;6816467
2012;4;6816468
2013;2;6816472
2015;1;6816474
2016;2;6816475
2017;3;6816477
2024;2;6816480
2025;1;6816482
2026;1;6816483
2027;1;6816484
2029;1;6816485
2033;1;6816486
2034;1;6816487
2036;1;6816488
2038;2;6816489
2040;1;6816491
2044;1;6816492
2046;1;6816493
2047;1;6816494
2048;2;6816495
2054;2;6816497
2058;1;6816499
2061;2;6816500
2062;1;6816502
2063;1;6816503
2065;1;6816504
2072;1;6816505
2079;3;6816506
2082;1;6816509
2083;1;6816510
2084;1;6816511
2086;3;6816512
2089;1;6816515
2095;1;6816516
2099;1;6816517
2100;3;6816518
2106;1;6816521
2109;1;6816522
2114;1;6816523
2119;1;6816524
2121;2;6816525
2122;2;6816527
2123;1;6816529
2126;1;6816530
2128;3;6816531
2130;2;6816534
2134;1;6816536
2141;1;6816537
2142;1;6816538
2143;1;6816539
2146;3;6816540
2147;1;6816543
2160;2;6816544
2166;1;6816546
2169;1;6816547
2170;5;6816548
2173;1;6816553
2174;2;6816554
2183;2;6816556
2185;2;6816558
2186;1;6816560
2187;1;6816561
2189;1;6816562
2192;1;6816563
2196;1;6816564
2200;4;6816565
2201;1;6816569
2202;1;6816570
2206;1;6816571
2207;1;6816572
2209;1;6816573
2210;1;6816574
2211;2;6816575
2214;1;6816577
2217;1;6816578
2219;2;6816579
2226;1;6816581
2229;3;6816582
2230;1;6816585
2232;1;6816586
2240;1;6816587
2241;1;6816588
2243;2;6816589
2244;1;6816591
2246;2;6816592
2249;1;6816594
2250;5;6816595
2256;1;6816600
2262;1;6816601
2266;1;6816602
2276;1;6816603
2279;1;6816604
2280;1;6816605
2289;1;6816606
2290;1;6816607
2300;2;6816608
2304;1;6816610
2306;1;6816611
2309;1;6816612
2312;2;6816613
2313;2;6816615
2317;2;6816617
2318;1;6816619
2322;1;6816620
2325;1;6816621
2330;1;6816622
2334;1;6816623
2336;1;6816624
2337;2;6816625
2338;1;6816627
2340;2;6816628
2342;1;6816630
2344;1;6816631
2345;1;6816632
2348;1;6816633
2360;1;6816634
2364;1;6816635
2374;1;6816636
2375;1;6816637
2380;1;6816638
2381;2;6816639
2388;1;6816641
2390;1;6816642
2391;1;6816643
2392;1;6816644
2393;2;6816645
2394;1;6816647
2396;2;6816648
2397;1;6816650
2400;1;6816651
2410;1;6816652
2414;1;6816653
2416;2;6816654
2419;2;6816656
2420;1;6816658
2422;1;6816659
2424;1;6816660
2425;1;6816661
2428;1;6816662
2430;1;6816663
2436;5;6816664
2438;1;6816669
2445;1;6816670
2446;2;6816671
2449;1;6816673
2452;2;6816674
2453;1;6816676
2455;3;6816677
2457;1;6816680
2458;1;6816681
2459;1;6816682
2467;1;6816683
2468;1;6816684
2470;1;6816685
2472;2;6816686
2482;1;6816688
2483;2;6816689
2484;1;6816691
2487;1;6816692
2490;1;6816693
2499;1;6816694
2500;1;6816695
2509;2;6816696
2510;2;6816698
2511;2;6816700
2513;1;6816702
2515;2;6816703
2517;1;6816705
2518;2;6816706
2522;1;6816708
2534;1;6816709
2536;1;6816710
2542;1;6816711
2543;3;6816712
2549;2;6816715
2551;1;6816717
2552;1;6816718
2553;1;6816719
